TOA,AOA,Amp,Freq,PW
0.000261000,87.18750,-49,9421875000.00000,0.000003500
0.000391500,85.78125,-48,9421875000.00000,0.000003000
0.000521500,85.78125,-48,9421875000.00000,0.000003000
0.000651000,87.18750,-48,9421875000.00000,0.000003000
0.000782000,87.18750,-47,9421875000.00000,0.000003000
0.000911500,88.59375,-47,9421875000.00000,0.000003000
0.001041500,87.18750,-45,9421875000.00000,0.000003000
0.003511500,88.59375,-40,9421875000.00000,0.000003000
0.003641500,87.18750,-41,9421875000.00000,0.000003500
0.004681500,87.18750,-39,9421875000.00000,0.000003000
0.005591500,87.18750,-39,9421875000.00000,0.000003000
0.005721500,87.18750,-39,9421875000.00000,0.000003000
0.006631500,87.18750,-39,9421875000.00000,0.000003000
0.006891500,87.18750,-38,9421875000.00000,0.000003000
0.008191500,87.18750,-37,9425781250.00000,0.000003000
0.008451500,87.18750,-36,9425781250.00000,0.000003000
0.008842000,87.18750,-36,9421875000.00000,0.000003000
0.009621500,87.18750,-36,9421875000.00000,0.000003500
0.012611500,87.18750,-34,9421875000.00000,0.000003500
0.013521500,87.18750,-34,9425781250.00000,0.000003500
0.016641500,88.59375,-33,9421875000.00000,0.000003000
0.017551500,87.18750,-34,9421875000.00000,0.000003000
0.021972000,88.59375,-33,9417968750.00000,0.000003000
0.022231500,87.18750,-33,9421875000.00000,0.000003000
0.024052000,87.18750,-33,9421875000.00000,0.000003500
0.024831500,87.18750,-33,9421875000.00000,0.000003500
0.026522000,88.59375,-34,9421875000.00000,0.000002500
0.026782000,87.18750,-34,9421875000.00000,0.000002500
0.027041500,87.18750,-34,9417968750.00000,0.000003000
0.027821000,88.59375,-34,9421875000.00000,0.000002500
0.028211500,87.18750,-34,9421875000.00000,0.000003000
0.028341000,88.59375,-35,9421875000.00000,0.000003000
0.030811500,87.18750,-35,9421875000.00000,0.000003000
0.034451500,87.18750,-38,9421875000.00000,0.000003000
0.039651500,87.18750,-47,9421875000.00000,0.000003000
