TOA,AOA,Amp,Freq,PW
0.0000010,45.00000,-47,9464843750,0.0000015
0.0002010,45.00000,-44,9468750000,0.0000005
0.0003010,45.00000,-43,9468750000,0.0000010
0.0004010,46.40625,-41,9468750000,0.0000015
0.0005010,45.00000,-39,9464843750,0.0000010
0.0006015,45.00000,-38,9468750000,0.0000005
0.0007010,45.00000,-37,9468750000,0.0000010
0.0008010,45.00000,-36,9464843750,0.0000010
0.0009010,43.59375,-34,9464843750,0.0000010
0.0010005,45.00000,-35,9468750000,0.0000010
0.0011010,46.40625,-35,9464843750,0.0000010
0.0012010,45.00000,-33,9468750000,0.0000015
0.0013005,45.00000,-33,9464843750,0.0000010
0.0014010,45.00000,-32,9468750000,0.0000010
0.0015010,45.00000,-32,9468750000,0.0000010
0.0016010,45.00000,-31,9468750000,0.0000015
0.0017010,45.00000,-31,9468750000,0.0000010
0.0018010,45.00000,-30,9468750000,0.0000005
0.0019010,46.40625,-30,9472656250,0.0000010
0.0020010,45.00000,-30,9468750000,0.0000015
0.0021010,45.00000,-29,9468750000,0.0000010
0.0022010,45.00000,-29,9468750000,0.0000010
0.0023010,45.00000,-27,9468750000,0.0000010
0.0024010,46.40625,-28,9464843750,0.0000010
0.0025010,45.00000,-29,9472656250,0.0000010
0.0026010,45.00000,-27,9468750000,0.0000010
0.0027005,46.40625,-27,9468750000,0.0000010
0.0028010,45.00000,-27,9472656250,0.0000010
0.0029010,45.00000,-27,9468750000,0.0000010
0.0030010,45.00000,-26,9468750000,0.0000010
0.0031010,45.00000,-26,9468750000,0.0000010
0.0032010,43.59375,-27,9464843750,0.0000010
0.0033005,45.00000,-26,9468750000,0.0000010
0.0034010,46.40625,-24,9468750000,0.0000010
0.0035005,45.00000,-25,9468750000,0.0000010
0.0036010,43.59375,-25,9468750000,0.0000010
0.0037005,43.59375,-24,9472656250,0.0000010
0.0038010,43.59375,-26,9472656250,0.0000010
0.0039005,45.00000,-24,9468750000,0.0000010
0.0040010,45.00000,-24,9468750000,0.0000010
0.0041010,45.00000,-24,9468750000,0.0000010
0.0042010,45.00000,-24,9468750000,0.0000010
0.0043010,46.40625,-24,9468750000,0.0000010
0.0044010,45.00000,-24,9468750000,0.0000005
0.0045005,43.59375,-23,9468750000,0.0000010
0.0046015,43.59375,-23,9468750000,0.0000010
0.0047005,45.00000,-23,9468750000,0.0000010
0.0048010,45.00000,-23,9468750000,0.0000010
0.0049010,45.00000,-22,9468750000,0.0000005
0.0050010,45.00000,-22,9468750000,0.0000010
0.0051010,45.00000,-23,9468750000,0.0000010
0.0052010,45.00000,-23,9468750000,0.0000010
0.0053010,46.40625,-23,9468750000,0.0000010
0.0054010,45.00000,-22,9468750000,0.0000010
0.0055015,45.00000,-22,9468750000,0.0000010
0.0056005,45.00000,-21,9468750000,0.0000005
0.0057010,45.00000,-22,9468750000,0.0000010
0.0058010,43.59375,-22,9468750000,0.0000010
0.0059010,45.00000,-22,9468750000,0.0000010
0.0060010,45.00000,-22,9468750000,0.0000015
0.0061010,46.40625,-22,9468750000,0.0000010
0.0062010,45.00000,-22,9468750000,0.0000010
0.0063010,45.00000,-21,9468750000,0.0000010
0.0064010,45.00000,-21,9468750000,0.0000010
0.0065010,45.00000,-21,9468750000,0.0000015
0.0066010,45.00000,-21,9468750000,0.0000010
0.0067010,45.00000,-21,9468750000,0.0000010
0.0068015,45.00000,-21,9468750000,0.0000005
0.0069010,45.00000,-21,9468750000,0.0000005
0.0070010,43.59375,-20,9468750000,0.0000010
0.0071010,45.00000,-21,9468750000,0.0000010
0.0072010,45.00000,-21,9468750000,0.0000010
0.0073010,46.40625,-21,9468750000,0.0000015
0.0074010,43.59375,-21,9468750000,0.0000010
0.0075010,45.00000,-22,9468750000,0.0000010
0.0076010,46.40625,-21,9468750000,0.0000015
0.0077010,46.40625,-21,9468750000,0.0000010
0.0078015,45.00000,-19,9468750000,0.0000010
