TOA,AOA,Amp,Freq,PW
0.0750450,50.62500,-30,9347656250,0.0000000
0.0750720,50.62500,-30,9351562500,0.0000005
0.0751080,50.62500,-30,9351562500,0.0000005
0.0751265,50.62500,-31,9347656250,0.0000005
0.0751350,50.62500,-30,9351562500,0.0000005
0.0751620,50.62500,-30,9351562500,0.0000005
0.0751800,49.21875,-29,9351562500,0.0000005
0.0751980,50.62500,-31,9351562500,0.0000005
0.0752160,50.62500,-31,9351562500,0.0000005
0.0752345,52.03125,-31,9351562500,0.0000010
0.0752610,49.21875,-30,9351562500,0.0000005
0.0753060,50.62500,-30,9351562500,0.0000005
0.0753240,50.62500,-29,9351562500,0.0000005
0.0753420,50.62500,-30,9351562500,0.0000005
0.0753510,50.62500,-31,9351562500,0.0000010
0.0753600,50.62500,-30,9351562500,0.0000000
0.0753780,50.62500,-30,9351562500,0.0000010
0.0753870,50.62500,-30,9351562500,0.0000005
0.0754140,50.62500,-30,9351562500,0.0000005
0.0754320,50.62500,-30,9355468750,0.0000000
0.0754500,50.62500,-30,9351562500,0.0000010
0.0754680,50.62500,-30,9351562500,0.0000000
0.0754860,49.21875,-31,9351562500,0.0000005
0.0754950,50.62500,-31,9351562500,0.0000005
0.0755040,50.62500,-30,9351562500,0.0000000
0.0755130,50.62500,-30,9351562500,0.0000005
0.0755310,50.62500,-29,9351562500,0.0000005
0.0755490,50.62500,-30,9351562500,0.0000005
0.0755580,50.62500,-30,9351562500,0.0000010
0.0755850,50.62500,-31,9351562500,0.0000005
0.0756295,49.21875,-30,9351562500,0.0000005
0.0756390,50.62500,-30,9347656250,0.0000010
0.0756480,49.21875,-30,9351562500,0.0000005
0.0756570,50.62500,-29,9351562500,0.0000005
0.0756750,50.62500,-30,9351562500,0.0000005
0.0756935,50.62500,-30,9351562500,0.0000005
0.0757020,50.62500,-30,9351562500,0.0000005
0.0757110,50.62500,-30,9351562500,0.0000000
0.0757385,50.62500,-30,9351562500,0.0000005
0.0757560,50.62500,-29,9351562500,0.0000005
0.0757740,50.62500,-30,9351562500,0.0000005
0.0757830,50.62500,-31,9351562500,0.0000005
0.0757920,50.62500,-30,9351562500,0.0000005
0.0758190,50.62500,-30,9351562500,0.0000005
0.0758370,50.62500,-30,9351562500,0.0000005
0.0759090,50.62500,-30,9351562500,0.0000005
0.0759180,49.21875,-30,9355468750,0.0000005
0.0759360,50.62500,-30,9351562500,0.0000010
0.0759450,50.62500,-30,9351562500,0.0000005
0.0759725,50.62500,-30,9351562500,0.0000005
0.0759805,50.62500,-30,9351562500,0.0000005
0.0760080,50.62500,-30,9347656250,0.0000000
0.0760260,50.62500,-30,9351562500,0.0000005
0.0760440,50.62500,-30,9355468750,0.0000005
0.0760710,50.62500,-31,9351562500,0.0000005
0.0760805,50.62500,-30,9351562500,0.0000000
0.0760890,49.21875,-30,9351562500,0.0000005
0.0761425,50.62500,-30,9351562500,0.0000005
0.0761610,50.62500,-30,9355468750,0.0000005
0.0761700,50.62500,-30,9351562500,0.0000010
0.0761880,50.62500,-29,9351562500,0.0000005
0.0762060,50.62500,-30,9351562500,0.0000005
0.0762150,52.03125,-30,9351562500,0.0000010
0.0762420,50.62500,-30,9351562500,0.0000005
0.0762515,50.62500,-30,9351562500,0.0000005
0.0762600,50.62500,-30,9351562500,0.0000005
0.0762690,49.21875,-30,9355468750,0.0000005
0.0763140,49.21875,-30,9351562500,0.0000000
0.0763320,50.62500,-30,9347656250,0.0000005
0.0763505,50.62500,-30,9351562500,0.0000005
0.0764045,50.62500,-30,9351562500,0.0000005
0.0764220,49.21875,-30,9351562500,0.0000005
0.0764305,50.62500,-30,9351562500,0.0000000
0.0764400,50.62500,-30,9351562500,0.0000005
0.0764490,49.21875,-29,9351562500,0.0000005
0.0765120,49.21875,-30,9351562500,0.0000010
0.0765300,50.62500,-30,9351562500,0.0000000
0.0765485,50.62500,-30,9351562500,0.0000005
0.0765660,50.62500,-30,9351562500,0.0000005
0.0765750,50.62500,-30,9351562500,0.0000005
0.0765840,50.62500,-29,9355468750,0.0000005
0.0765930,50.62500,-30,9351562500,0.0000005
0.0766110,50.62500,-29,9351562500,0.0000005
0.0766560,50.62500,-29,9351562500,0.0000005
0.0766825,50.62500,-29,9351562500,0.0000005
0.0767010,50.62500,-30,9351562500,0.0000005
0.0767640,49.21875,-30,9351562500,0.0000005
0.0767730,50.62500,-30,9351562500,0.0000000
0.0767910,50.62500,-30,9351562500,0.0000005
0.0768000,50.62500,-29,9351562500,0.0000005
0.0768090,50.62500,-31,9347656250,0.0000005
0.0768270,50.62500,-30,9351562500,0.0000000
0.0768540,50.62500,-30,9351562500,0.0000005
0.0768810,50.62500,-29,9351562500,0.0000010
0.0768900,50.62500,-30,9351562500,0.0000005
0.0768990,50.62500,-30,9351562500,0.0000005
0.0769080,50.62500,-30,9351562500,0.0000000
0.0769170,50.62500,-29,9347656250,0.0000000
0.0769350,50.62500,-31,9351562500,0.0000000
0.0769435,50.62500,-30,9351562500,0.0000005
0.0769620,50.62500,-30,9351562500,0.0000005
0.0769890,50.62500,-31,9351562500,0.0000000
0.0770070,50.62500,-30,9351562500,0.0000005
0.0770345,49.21875,-30,9355468750,0.0000010
0.0770610,50.62500,-29,9351562500,0.0000005
0.0770700,50.62500,-30,9351562500,0.0000005
0.0770880,50.62500,-30,9351562500,0.0000005
0.0771240,50.62500,-30,9351562500,0.0000005
0.0771685,50.62500,-30,9351562500,0.0000000
0.0772050,50.62500,-31,9351562500,0.0000005
0.0772145,50.62500,-30,9351562500,0.0000010
0.0772320,49.21875,-31,9351562500,0.0000005
0.0772505,52.03125,-30,9351562500,0.0000000
0.0772770,50.62500,-30,9351562500,0.0000005
0.0772860,50.62500,-30,9351562500,0.0000005
0.0772955,50.62500,-30,9351562500,0.0000000
0.0773040,49.21875,-30,9347656250,0.0000005
0.0773220,50.62500,-30,9351562500,0.0000005
0.0773395,50.62500,-30,9347656250,0.0000005
