TOA,AOA,Amp,Freq,PW
0.0000010,0.00000,0,0,0.0000035
0.0002010,45.00000,-44,9472656250,0.0000010
0.0002610,87.18750,-49,9421875000,0.0000035
0.0003915,85.78125,-48,9421875000,0.0000030
0.0004010,45.00000,-41,9468750000,0.0000010
0.0005010,45.00000,-39,9468750000,0.0000010
0.0005215,85.78125,-48,9421875000,0.0000030
0.0006010,45.00000,-38,9468750000,0.0000010
0.0006510,87.18750,-48,9421875000,0.0000030
0.0007010,43.59375,-37,9468750000,0.0000010
0.0007820,87.18750,-47,9421875000,0.0000030
0.0008005,45.00000,-36,9468750000,0.0000010
0.0009010,45.00000,-36,9472656250,0.0000015
0.0009115,88.59375,-47,9421875000,0.0000030
0.0010005,45.00000,-35,9464843750,0.0000010
0.0010415,87.18750,-45,9421875000,0.0000030
0.0011010,45.00000,-34,9472656250,0.0000010
0.0012010,45.00000,-33,9468750000,0.0000010
0.0012115,85.78125,-50,11898437500,0.0000010
0.0012215,85.78125,-51,11898437500,0.0000010
0.0012315,85.78125,-51,11898437500,0.0000010
0.0012415,85.78125,-50,11898437500,0.0000010
0.0012515,87.18750,-50,11898437500,0.0000010
0.0012615,85.78125,-50,11894531250,0.0000010
0.0012815,84.37500,-49,11898437500,0.0000005
0.0013010,0.00000,0,0,0.0000035
0.0013115,85.78125,-49,11898437500,0.0000010
0.0013210,85.78125,-49,11898437500,0.0000005
0.0013315,84.37500,-49,11898437500,0.0000015
0.0013410,85.78125,-48,11898437500,0.0000010
0.0013515,85.78125,-49,11898437500,0.0000005
0.0013610,85.78125,-49,11898437500,0.0000015
0.0013715,84.37500,-49,11898437500,0.0000015
0.0013815,85.78125,-49,11898437500,0.0000010
0.0013915,85.78125,-49,11894531250,0.0000015
0.0014010,45.00000,-33,9468750000,0.0000010
0.0014115,84.37500,-49,11898437500,0.0000010
0.0014215,85.78125,-48,11902343750,0.0000010
0.0014315,0.00000,0,0,0.0000025
0.0014415,85.78125,-48,11894531250,0.0000010
0.0014510,85.78125,-48,11898437500,0.0000015
0.0014615,87.18750,-48,11898437500,0.0000005
0.0014715,85.78125,-48,11902343750,0.0000010
0.0014810,87.18750,-48,11898437500,0.0000010
0.0014915,85.78125,-48,11898437500,0.0000010
0.0015010,0.00000,0,0,0.0000015
0.0015120,85.78125,-48,11894531250,0.0000010
0.0015215,85.78125,-49,11898437500,0.0000010
0.0015315,85.78125,-49,11902343750,0.0000015
0.0015415,85.78125,-48,11898437500,0.0000010
0.0015515,84.37500,-48,11902343750,0.0000010
0.0015615,0.00000,0,0,0.0000030
0.0015720,85.78125,-49,11898437500,0.0000010
0.0015820,84.37500,-48,11902343750,0.0000010
0.0015915,85.78125,-48,11902343750,0.0000010
0.0016010,0.00000,0,0,0.0000015
0.0016115,85.78125,-48,11898437500,0.0000010
0.0016215,85.78125,-47,11898437500,0.0000005
0.0016315,85.78125,-47,11898437500,0.0000010
0.0016415,85.78125,-47,11898437500,0.0000015
0.0016515,85.78125,-47,11894531250,0.0000005
0.0016615,85.78125,-47,11898437500,0.0000010
0.0016715,87.18750,-47,11898437500,0.0000015
0.0016815,85.78125,-48,11902343750,0.0000010
0.0016910,0.00000,0,0,0.0000025
0.0017010,45.00000,-31,9468750000,0.0000005
0.0017015,87.18750,-48,11898437500,0.0000005
0.0017115,85.78125,-48,11898437500,0.0000010
0.0017320,85.78125,-47,11898437500,0.0000005
0.0017415,87.18750,-47,11898437500,0.0000010
0.0017515,85.78125,-47,11902343750,0.0000005
0.0017615,84.37500,-47,11898437500,0.0000005
0.0017715,84.37500,-47,11898437500,0.0000010
0.0017815,85.78125,-47,11898437500,0.0000010
0.0017915,85.78125,-46,11898437500,0.0000010
0.0018010,0.00000,0,0,0.0000015
0.0018115,85.78125,-47,11894531250,0.0000015
0.0018210,0.00000,0,0,0.0000025
0.0018315,85.78125,-46,11898437500,0.0000010
0.0018415,85.78125,-46,11898437500,0.0000010
0.0018515,87.18750,-45,11902343750,0.0000010
0.0018615,85.78125,-45,11898437500,0.0000010
0.0018715,85.78125,-47,11898437500,0.0000010
0.0018915,85.78125,-46,11898437500,0.0000010
0.0019015,0.00000,0,0,0.0000015
0.0019115,84.37500,-46,11898437500,0.0000010
0.0019220,85.78125,-46,11898437500,0.0000010
0.0019315,85.78125,-46,11898437500,0.0000010
0.0019415,85.78125,-46,11898437500,0.0000010
0.0019515,85.78125,-46,11898437500,0.0000010
0.0019615,85.78125,-47,11898437500,0.0000010
0.0019820,85.78125,-47,11898437500,0.0000010
0.0019915,85.78125,-46,11898437500,0.0000010
0.0020015,85.78125,-46,11898437500,0.0000010
0.0020115,85.78125,-46,11894531250,0.0000010
0.0020215,84.37500,-46,11898437500,0.0000010
0.0020310,85.78125,-46,11902343750,0.0000015
0.0020420,85.78125,-44,11898437500,0.0000005
0.0020515,87.18750,-45,11898437500,0.0000010
0.0020615,87.18750,-45,11902343750,0.0000010
